Designator,Value,Footprint,Mid X,Mid Y,Rotation,Layer
C1,4.7uF,C_0805_2012Metric,58.17,-49.24,180,top
C2,100nF,C_0402_1005Metric,56.4,-60.84,180,top
C3,100nF,C_0402_1005Metric,58.72,-67.14,180,top
C4,100nF,C_0402_1005Metric,60.62,-47.94,90,top
C5,100nF,C_0402_1005Metric,56.0605,-55.545,180,top
C6,100nF,C_0402_1005Metric,56.12,-54.18,180,top
C7,100nF,C_0402_1005Metric,74.42,-65.84,0,top
C8,100nF,C_0402_1005Metric,78.44,-50.39,0,top
C9,1uF,C_0402_1005Metric,56.879,-64.1455,270,top
C10,10nF,C_0402_1005Metric,55.82,-64.14,270,top
C11,2.2uF,C_0603_1608Metric,72.82,-68.665,270,top
C12,2.2uF,C_0603_1608Metric,78.13,-51.96,0,top
C13,12pF,C_0402_1005Metric,49.32,-53.64,0,top
C14,12pF,C_0402_1005Metric,49.52,-60.14,180,top
C15,22uF,C_0805_2012Metric,96.77,-81.64,0,top
C16,22uF,C_0805_2012Metric,82.62,-73.99,270,top
C17,22uF,C_0805_2012Metric,96.99,-71.73,0,top
C18,22uF,C_0805_2012Metric,82.42,-83.74,270,top
C19,100nF,C_0402_1005Metric,56.42,-30.46,90,top
C20,100nF,C_0402_1005Metric,52.8515,-33.203,180,top
C21,100nF,C_0402_1005Metric,58.12,-30.46,90,top
C22,2.2nF,C_0603_1608Metric,56.32,-39.015,270,top
C23,100nF,C_0402_1005Metric,80.56,-66.1035,180,top
C25,4.7uF,C_0805_2012Metric,69.088,-79.248,180,top
C26,100nF,C_0603_1608Metric,72.5805,-82.2325,270,top
C27,100nF,C_0402_1005Metric,54.29,-80.33,0,top
C28,100nF,C_0402_1005Metric,48.82,-86.32,270,top
C29,100nF,C_0402_1005Metric,44.323,-83.6215,180,top
C30,220pF,C_0402_1005Metric,44.323,-82.542,180,top
C31,220pF,C_0402_1005Metric,44.323,-79.64,180,top
C32,220pF,C_0402_1005Metric,48.5775,-76.0095,90,top
